MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,Age_House,Age_Renovation,Garage_age,TotalSF
RL,82.74,14115,1,1,3,Lvl,AllPub,Inside,0,NWAmes,Norm,Norm,1Fam,SLvl,7,4,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,3,4,CBlock,2,4,0,2,1036.0,6,0.0,336.0,1372.0,GasA,4,1,SBrkr,1472,0,0,1472,1.0,0.0,2,0,3,1,3,6,6,2,5,Attchd,3,2.0,588.0,5,2,233,48,0,0,0,3,4,None,0,3,WD,Normal,187500.0,40,40,40.0,2844.0
RL,111.0,16259,1,1,3,Lvl,AllPub,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,9,4,Gable,CompShg,VinylSd,VinylSd,Stone,370.0,3,4,PConc,0,1,0,6,0.0,6,0.0,1249.0,1249.0,GasA,0,1,SBrkr,1249,1347,0,2596,0.0,0.0,3,1,4,1,2,9,6,0,3,Attchd,2,3.0,840.0,5,2,240,154,0,0,0,3,4,None,0,0,New,Partial,342643.0,14,14,14.0,3845.0
RL,99.0,12099,1,1,0,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,388.0,2,4,PConc,0,4,0,2,970.0,6,0.0,166.0,1136.0,GasA,0,1,SBrkr,1136,1332,0,2468,1.0,0.0,2,1,4,1,2,10,6,1,2,BuiltIn,0,3.0,872.0,5,2,184,154,0,0,0,3,4,None,0,1,WD,Normal,354000.0,16,16,16.0,3604.0
RL,86.0,10380,1,1,0,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,2Story,7,4,Gable,CompShg,Plywood,Plywood,BrkFace,172.0,2,4,CBlock,4,4,1,3,28.0,0,1474.0,0.0,1502.0,GasA,0,1,SBrkr,1553,1177,0,2730,1.0,0.0,2,1,4,1,2,8,6,1,5,Attchd,0,2.0,576.0,5,2,201,96,0,0,0,3,2,None,0,1,WD,Normal,301000.0,34,33,33.0,4232.0
RM,49.0,5820,1,1,3,Lvl,AllPub,Inside,0,OldTown,Norm,Norm,1Fam,1Story,3,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,3,0,256.0,6,0.0,906.0,1162.0,GasA,0,1,SBrkr,1163,0,0,1163,1.0,0.0,1,0,3,1,3,6,6,0,3,Attchd,3,1.0,220.0,5,2,142,98,0,0,0,3,4,None,0,0,WD,Normal,126175.0,65,15,65.0,2325.0
RL,96.0,11275,1,1,3,Lvl,AllPub,Corner,0,NAmes,PosN,Norm,1Fam,SLvl,7,6,Mansard,WdShake,Wd Sdng,Wd Sdng,BrkFace,300.0,2,2,CBlock,2,4,3,6,0.0,6,0.0,710.0,710.0,GasA,0,1,SBrkr,1898,1080,0,2978,0.0,0.0,2,1,5,1,2,11,6,1,2,BuiltIn,0,2.0,564.0,5,2,240,0,0,0,0,3,4,None,0,4,WD,Normal,242000.0,53,13,59.0,3688.0
RM,50.0,5000,1,1,3,Lvl,AllPub,Inside,0,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,4,0,1,116.0,6,0.0,604.0,720.0,GasA,3,0,FuseF,803,0,0,803,0.0,0.0,1,0,2,1,3,5,6,0,3,Detchd,3,2.0,360.0,5,2,0,0,244,0,0,3,4,None,0,1,WD,Normal,87000.0,79,70,79.0,1523.0
RL,32.0,10846,1,1,0,Lvl,AllPub,CulDSac,0,Veenker,Norm,Norm,TwnhsE,1Story,8,4,Gable,CompShg,BrkFace,BrkFace,None,0.0,2,4,PConc,2,4,1,2,1619.0,6,0.0,100.0,1719.0,GasA,0,1,SBrkr,1719,0,0,1719,2.0,0.0,1,1,1,1,2,6,6,2,2,Attchd,0,2.0,473.0,5,2,122,30,0,0,0,3,4,None,0,2,Con,Normal,324000.0,27,27,27.0,3438.0
RL,80.0,11600,1,1,3,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,4,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,3,4,CBlock,4,4,3,5,565.0,6,0.0,818.0,1383.0,GasA,4,1,SBrkr,1383,0,0,1383,0.0,0.0,1,1,3,1,3,7,6,0,3,Attchd,2,1.0,292.0,5,2,0,45,0,0,0,3,4,None,0,0,WD,Normal,145250.0,60,60,60.0,2766.0
RL,76.988,11888,1,2,0,Bnk,AllPub,Inside,0,BrkSide,PosN,Norm,1Fam,2.5Unf,6,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,844.0,844.0,GasA,2,0,FuseA,1445,689,0,2134,0.0,0.0,2,0,5,1,2,10,6,0,3,Detchd,3,2.0,441.0,5,2,0,60,268,0,0,3,4,None,0,3,WD,Normal,214500.0,104,26,90.0,2978.0
RM,60.0,6402,1,1,3,Lvl,AllPub,Corner,0,IDOTRR,Norm,Norm,1Fam,2Story,5,4,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,4,PConc,4,4,2,6,0.0,6,0.0,596.0,596.0,GasA,4,0,SBrkr,596,596,0,1192,0.0,0.0,1,0,3,1,3,6,6,0,3,Detchd,3,1.0,189.0,1,0,0,0,137,0,0,3,1,None,0,3,WD,Normal,78000.0,100,70,100.0,1788.0
RL,83.196,10624,1,1,0,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,Duplex,1Story,5,3,Gable,CompShg,HdBoard,HdBoard,BrkFace,84.0,3,4,CBlock,4,4,3,2,40.0,5,264.0,1424.0,1728.0,GasA,4,1,SBrkr,1728,0,0,1728,0.0,1.0,2,0,6,2,3,10,6,0,3,Detchd,3,1.0,352.0,5,2,155,0,0,0,0,3,4,None,0,1,WD,Normal,119000.0,56,56,18.0,3456.0
RL,70.0,8176,1,1,3,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,3,5,846.0,6,0.0,210.0,1056.0,GasA,1,1,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,6,0,3,Attchd,2,1.0,308.0,5,2,0,0,0,0,0,3,4,None,0,1,WD,Normal,139000.0,62,28,62.0,2112.0
RL,85.0,10655,1,1,0,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,296.0,2,4,PConc,2,4,3,2,1124.0,4,479.0,1603.0,3206.0,GasA,0,1,SBrkr,1629,0,0,1629,1.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2,3.0,880.0,5,2,0,0,0,0,0,3,4,None,0,3,WD,Normal,284000.0,17,16,17.0,4835.0
RM,59.0,8198,1,1,3,Lvl,AllPub,FR3,0,NridgHt,Norm,Norm,TwnhsE,1Story,7,4,Gable,CompShg,VinylSd,VinylSd,Stone,146.0,2,4,PConc,2,4,0,2,720.0,6,0.0,638.0,1358.0,GasA,0,1,SBrkr,1358,0,0,1358,1.0,0.0,2,0,2,1,2,6,6,1,2,Attchd,2,2.0,484.0,5,2,192,30,0,0,0,3,4,None,0,2,WD,Normal,207000.0,16,16,16.0,2716.0
RL,59.0,9042,1,1,0,Lvl,AllPub,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,6,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,1,2,828.0,6,0.0,115.0,943.0,GasA,2,1,SBrkr,943,695,0,1638,1.0,0.0,2,1,3,1,3,7,6,2,5,Attchd,0,2.0,472.0,5,2,100,38,0,0,0,3,4,None,0,2,WD,Normal,192000.0,22,22,22.0,2581.0
RL,208.374,164660,0,1,0,HLS,AllPub,Corner,2,Timber,Norm,Norm,2fmCon,1.5Fin,5,5,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,4,4,1,0,1249.0,1,147.0,103.0,1499.0,GasA,0,1,SBrkr,1619,167,0,1786,2.0,0.0,2,0,3,1,3,7,6,2,2,Attchd,0,2.0,529.0,5,2,670,0,0,0,0,3,4,Shed,700,2,WD,Normal,228950.0,55,55,55.0,3285.0
RL,86.0,14157,1,1,0,HLS,AllPub,Corner,0,StoneBr,Norm,Norm,1Fam,1Story,9,4,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,2,4,PConc,0,4,1,2,1249.0,6,0.0,673.0,1922.0,GasA,0,1,SBrkr,1922,0,0,1922,1.0,0.0,2,0,3,1,2,8,6,1,2,Attchd,0,3.0,676.0,5,2,178,51,0,0,0,3,4,None,0,1,WD,Normal,377426.0,15,14,15.0,3844.0
RL,70.0,9135,1,1,3,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,2,4,PConc,2,4,0,2,810.0,6,0.0,726.0,1536.0,GasA,0,1,SBrkr,1536,0,0,1536,1.0,0.0,2,0,3,1,2,7,6,0,3,Attchd,2,2.0,532.0,5,2,192,74,0,0,0,3,4,None,0,2,WD,Normal,214000.0,18,17,18.0,3072.0
RL,91.0,14145,1,1,3,Lvl,AllPub,Corner,0,NWAmes,Norm,Norm,1Fam,1Story,7,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,4,CBlock,2,4,2,0,213.0,6,0.0,995.0,1208.0,GasA,0,1,SBrkr,1621,0,0,1621,1.0,0.0,2,0,3,1,2,8,6,0,3,Attchd,2,2.0,440.0,5,2,108,45,0,0,0,3,4,Shed,400,0,WD,Normal,202500.0,36,22,36.0,2829.0
RL,66.0,12400,1,1,0,Lvl,AllPub,Inside,0,NAmes,Feedr,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,3,4,CBlock,4,0,3,5,585.0,6,0.0,630.0,1215.0,GasA,4,1,FuseA,1215,0,0,1215,0.0,0.0,1,0,3,1,3,6,6,0,3,Attchd,3,1.0,297.0,5,2,0,0,0,0,234,3,4,None,0,3,WD,Normal,155000.0,62,22,62.0,2430.0
RL,85.0,14191,1,1,3,Lvl,AllPub,Inside,0,Timber,Norm,Norm,1Fam,2Story,8,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,3,6,0.0,6,0.0,967.0,967.0,GasA,0,1,SBrkr,993,915,0,1908,0.0,0.0,2,1,4,1,2,9,6,0,3,Attchd,0,2.0,431.0,5,2,135,0,0,0,0,3,4,None,0,4,WD,Normal,202900.0,18,18,18.0,2875.0
RH,60.0,8400,1,1,3,Lvl,AllPub,Inside,0,SawyerW,Feedr,Norm,1Fam,1Story,4,3,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,1,1,CBlock,4,0,3,6,0.0,6,0.0,721.0,721.0,GasA,2,1,SBrkr,841,0,0,841,0.0,0.0,1,0,2,1,3,4,6,0,3,CarPort,3,1.0,294.0,5,0,250,0,24,0,0,3,4,None,0,3,WD,Normal,82000.0,70,70,70.0,1562.0
RL,64.708,8544,1,1,3,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,Duplex,1Story,3,3,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,3,4,Slab,3,2,4,4,0.0,4,0.0,0.0,0.0,Wall,1,0,FuseA,1040,0,0,1040,0.0,0.0,2,0,2,2,3,6,6,0,3,Detchd,3,2.0,400.0,5,2,0,0,0,0,0,3,4,None,0,0,WD,Normal,87500.0,71,70,71.0,1040.0
RL,63.0,8849,1,1,0,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,4,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,0,4,PConc,0,4,3,2,28.0,6,0.0,1656.0,1684.0,GasA,0,1,SBrkr,1684,0,0,1684,0.0,0.0,2,0,2,1,0,6,6,1,0,Attchd,2,2.0,564.0,5,2,495,72,0,0,0,3,4,None,0,2,WD,Normal,266000.0,15,15,15.0,3368.0
RM,36.0,2592,1,1,3,Lvl,AllPub,Inside,0,MeadowV,Norm,Norm,TwnhsE,2Story,5,2,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,2,4,3,5,129.0,1,232.0,175.0,536.0,GasA,4,1,SBrkr,536,576,0,1112,0.0,0.0,1,1,3,1,3,4,6,0,3,Attchd,3,1.0,336.0,5,2,182,0,0,0,0,3,4,None,0,4,WD,Normal,85000.0,44,44,44.0,1648.0
RL,65.0,6435,1,1,3,Lvl,AllPub,Inside,0,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,972.0,972.0,GasA,2,1,SBrkr,972,605,0,1577,0.0,0.0,1,0,3,1,1,6,6,1,2,Detchd,3,1.0,312.0,5,2,0,0,0,0,0,3,4,None,0,0,WD,Normal,140200.0,81,70,81.0,2549.0
RL,51.458,12772,1,1,0,Lvl,AllPub,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,2,CBlock,4,4,2,1,498.0,6,0.0,460.0,958.0,GasA,4,1,SBrkr,958,0,0,958,0.0,0.0,1,0,2,1,3,5,6,0,3,Attchd,2,1.0,301.0,5,2,0,0,0,0,0,3,4,Gar2,15500,1,WD,Normal,151500.0,60,22,60.0,1916.0
RL,105.48,17600,1,1,0,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,4,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30.0,3,4,CBlock,4,4,3,1,1270.0,6,0.0,208.0,1478.0,GasA,0,1,FuseA,1478,0,0,1478,1.0,0.0,2,0,3,1,3,6,6,2,2,Attchd,3,2.0,498.0,5,2,0,40,0,0,0,3,4,None,0,3,WD,Normal,157500.0,60,60,60.0,2956.0
RL,36.0,2448,1,1,3,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,Twnhs,2Story,7,4,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,2,4,PConc,2,4,3,2,573.0,6,0.0,191.0,764.0,GasA,0,1,SBrkr,764,862,0,1626,1.0,0.0,2,1,2,1,2,6,6,0,3,BuiltIn,2,2.0,474.0,5,2,0,27,0,0,0,3,4,None,0,2,WD,Normal,154000.0,17,16,17.0,2390.0
RL,56.0,20431,1,1,1,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,4,Hip,CompShg,CemntBd,CmentBd,BrkFace,870.0,0,4,PConc,0,4,3,2,1410.0,6,0.0,438.0,1848.0,GasA,0,1,SBrkr,1848,880,0,2728,1.0,0.0,2,1,4,1,0,10,6,2,0,Attchd,0,3.0,706.0,5,2,0,0,0,0,0,3,4,None,0,0,New,Partial,437154.0,15,14,14.0,4576.0
RL,68.0,7820,1,1,0,Lvl,AllPub,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,4,Hip,CompShg,MetalSd,MetalSd,BrkFace,362.0,0,4,PConc,0,4,3,6,0.0,6,0.0,1869.0,1869.0,GasA,0,1,SBrkr,1869,0,0,1869,0.0,0.0,2,0,2,1,0,6,6,1,2,Attchd,2,2.0,617.0,5,2,210,54,0,0,0,3,4,None,0,1,New,Partial,318061.0,13,13,13.0,3738.0
RL,46.402,5271,1,1,0,Low,AllPub,Inside,1,ClearCr,Norm,Norm,1Fam,1Story,7,4,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,2,4,1,2,1082.0,6,0.0,371.0,1453.0,GasA,2,1,SBrkr,1453,0,0,1453,1.0,0.0,1,1,2,1,2,6,6,1,5,Attchd,2,2.0,445.0,5,2,0,80,0,0,184,3,4,None,0,0,WD,Abnorml,190000.0,34,34,34.0,2906.0
RL,60.0,9084,1,1,3,Lvl,AllPub,Inside,0,Edwards,Artery,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,4,0,2,3,236.0,5,380.0,0.0,616.0,GasA,4,0,SBrkr,616,495,0,1111,0.0,1.0,1,0,3,1,3,5,6,0,3,Detchd,3,1.0,200.0,1,2,48,0,0,0,0,3,4,None,0,2,ConLw,Normal,95000.0,79,70,79.0,1727.0
RM,60.0,8520,1,1,3,Lvl,AllPub,Inside,0,OldTown,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,BrkTil,4,4,3,6,0.0,6,0.0,624.0,624.0,GasA,2,1,SBrkr,720,0,0,720,0.0,0.0,1,0,2,1,3,5,6,0,3,Detchd,3,2.0,484.0,5,2,106,0,0,0,0,3,4,None,0,4,WD,Normal,105900.0,92,17,15.0,1344.0
RL,60.0,8400,1,1,3,Bnk,AllPub,Inside,0,SWISU,Norm,Norm,1Fam,1.5Fin,6,4,Gable,CompShg,Wd Sdng,MetalSd,None,0.0,3,4,CBlock,4,4,3,3,388.0,6,0.0,552.0,940.0,GasA,0,1,SBrkr,1192,403,0,1595,0.0,0.0,1,0,2,1,3,6,6,2,2,Attchd,3,1.0,240.0,5,2,0,0,108,0,0,3,4,None,0,0,WD,Normal,140000.0,80,20,80.0,2535.0
RL,105.0,11249,1,1,1,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,6,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,2,1,3,0,334.0,1,544.0,322.0,1200.0,GasA,0,1,SBrkr,1200,0,0,1200,1.0,0.0,2,0,3,1,2,6,6,0,3,Attchd,2,2.0,521.0,5,2,0,26,0,0,0,3,4,None,0,1,WD,Normal,177500.0,25,25,25.0,2400.0
RL,65.544,9248,1,1,0,Lvl,AllPub,Inside,0,Gilbert,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,3,4,PConc,2,4,3,2,560.0,6,0.0,598.0,1158.0,GasA,2,1,SBrkr,1167,0,0,1167,1.0,0.0,2,0,3,1,2,6,6,0,3,Attchd,2,2.0,400.0,5,2,120,26,0,0,0,3,4,None,0,3,WD,Normal,173000.0,28,28,28.0,2325.0
RM,44.0,4224,1,1,3,Lvl,AllPub,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,4,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,PConc,2,4,3,0,874.0,6,0.0,268.0,1142.0,GasA,4,1,SBrkr,1142,0,0,1142,1.0,0.0,1,1,3,1,3,6,6,1,4,Attchd,0,2.0,528.0,5,2,536,90,0,0,0,3,2,None,0,1,WD,Normal,134000.0,44,44,44.0,2284.0
RL,92.0,6930,1,1,0,Lvl,AllPub,Inside,0,ClearCr,Norm,Norm,1Fam,SLvl,5,3,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,120.0,3,4,CBlock,4,4,0,1,300.0,5,294.0,468.0,1062.0,GasA,0,1,FuseF,1352,0,0,1352,0.0,1.0,1,0,3,1,2,6,3,0,3,BuiltIn,3,1.0,288.0,5,2,168,0,294,0,0,3,4,None,0,0,WD,Abnorml,130000.0,62,62,62.0,2414.0
RL,78.0,12011,1,1,0,Lvl,AllPub,CulDSac,0,NoRidge,Norm,Norm,1Fam,2Story,8,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,530.0,2,4,PConc,2,4,0,2,956.0,6,0.0,130.0,1086.0,GasA,0,1,SBrkr,1086,838,0,1924,1.0,0.0,2,1,3,1,2,7,6,1,5,Attchd,2,2.0,592.0,5,2,208,75,0,0,374,3,4,None,0,0,WD,Normal,280000.0,22,22,22.0,3010.0
RL,48.054,7540,1,1,0,Lvl,AllPub,CulDSac,0,Mitchel,Norm,Norm,1Fam,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,2,4,0,2,773.0,6,0.0,115.0,888.0,GasA,0,1,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,3,5,6,1,5,Attchd,2,2.0,470.0,5,2,0,0,0,0,192,3,2,None,0,1,WD,Normal,156000.0,42,42,42.0,1800.0
RL,66.508,9144,1,2,3,Lvl,AllPub,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,4,3,5,399.0,6,0.0,484.0,883.0,GasA,2,1,SBrkr,988,517,0,1505,1.0,0.0,1,0,3,1,3,8,6,0,3,Detchd,3,1.0,240.0,5,0,0,0,0,0,0,3,4,None,0,2,WD,Normal,145000.0,80,38,80.0,2388.0
RL,64.0,7301,1,1,3,Lvl,AllPub,Corner,0,Edwards,Norm,Norm,1Fam,SFoyer,7,4,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,2,4,Slab,3,2,4,4,0.0,4,0.0,0.0,0.0,GasA,0,1,SBrkr,495,1427,0,1922,0.0,0.0,3,0,4,1,2,7,6,1,0,BuiltIn,2,2.0,672.0,5,2,0,0,177,0,0,3,4,None,0,3,ConLD,Normal,198500.0,17,17,17.0,1922.0
RM,21.0,1680,1,1,3,Lvl,AllPub,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,510.0,3,4,CBlock,4,4,3,0,162.0,6,0.0,321.0,483.0,GasA,2,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,2,5,6,0,3,Detchd,3,1.0,264.0,5,2,250,0,0,0,0,3,4,None,0,3,WD,Normal,118000.0,48,13,48.0,1470.0
RL,100.91,18800,1,1,0,Lvl,AllPub,FR2,0,NWAmes,Norm,Norm,1Fam,2Story,6,4,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,3,4,PConc,2,4,2,2,712.0,6,0.0,84.0,796.0,GasA,4,1,SBrkr,790,784,0,1574,1.0,0.0,2,1,3,1,3,6,6,1,5,Attchd,0,2.0,566.0,5,2,306,111,0,0,0,3,4,None,0,0,WD,Normal,190000.0,44,44,44.0,2370.0
RM,59.0,10690,1,1,3,Lvl,AllPub,Inside,0,IDOTRR,Norm,Norm,1Fam,2Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,0,3,5,456.0,6,0.0,216.0,672.0,GasA,2,1,FuseA,672,672,0,1344,0.0,0.0,1,0,3,1,3,6,6,0,3,Detchd,3,1.0,468.0,1,2,0,128,218,0,0,3,4,None,0,3,WD,Normal,147000.0,100,23,56.0,2016.0
RL,79.065316017316,9500,1,1,0,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,4,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,4,CBlock,2,4,3,1,609.0,6,0.0,785.0,1394.0,GasA,2,1,SBrkr,1394,0,0,1394,1.0,0.0,1,1,3,1,3,6,6,2,2,Attchd,2,2.0,514.0,5,2,0,76,0,0,185,3,4,None,0,3,WD,Normal,159000.0,57,57,57.0,2788.0
RL,101.0,9150,1,1,0,Lvl,AllPub,Corner,0,NAmes,Norm,Norm,1Fam,SLvl,6,4,Gable,Tar&Grv,Plywood,Plywood,BrkFace,305.0,3,4,CBlock,2,4,1,2,371.0,6,0.0,728.0,1099.0,GasA,2,1,SBrkr,1431,0,0,1431,0.0,1.0,1,0,3,1,3,6,6,1,2,Basment,2,1.0,296.0,5,2,64,110,0,0,0,3,4,None,0,2,WD,Normal,165000.0,58,58,58.0,2530.0
RL,78.0,7800,1,1,3,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,3,4,PConc,4,4,3,3,540.0,6,0.0,728.0,1268.0,GasA,2,1,SBrkr,1268,0,0,1268,0.0,0.0,1,0,2,1,3,7,6,1,2,Attchd,0,1.0,244.0,5,2,0,98,0,0,0,3,4,None,0,4,WD,Normal,132000.0,66,66,66.0,2536.0
RL,81.926,9830,1,1,0,Lvl,AllPub,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,CBlock,4,4,3,0,72.0,5,258.0,733.0,1063.0,GasA,0,1,SBrkr,1287,0,0,1287,1.0,0.0,1,0,3,1,2,7,6,1,2,Detchd,0,2.0,576.0,5,2,364,17,0,0,182,3,4,None,0,4,WD,Normal,162000.0,61,14,23.0,2350.0
RL,61.456,8121,1,1,0,Lvl,AllPub,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,6,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,3,6,0.0,6,0.0,953.0,953.0,GasA,0,1,SBrkr,953,711,0,1664,0.0,0.0,2,1,3,1,3,7,6,1,5,Attchd,2,2.0,460.0,5,2,100,40,0,0,0,3,4,None,0,0,WD,Normal,172400.0,20,20,20.0,2617.0
RL,80.0,17120,1,1,3,Lvl,AllPub,Inside,0,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Plywood,None,0.0,3,4,CBlock,3,2,4,4,0.0,4,0.0,0.0,0.0,GasA,4,1,SBrkr,1120,468,0,1588,0.0,0.0,2,0,4,1,3,7,3,1,2,Detchd,0,2.0,680.0,5,0,0,59,0,0,0,3,4,None,0,2,WD,Normal,134432.0,61,61,29.0,1588.0
RL,50.0,7175,1,1,3,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,TwnhsE,1Story,6,4,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,2,4,3,0,623.0,3,121.0,0.0,744.0,GasA,4,1,SBrkr,752,0,0,752,1.0,0.0,1,0,2,1,3,4,6,0,3,Attchd,3,1.0,264.0,5,2,353,0,0,0,90,3,2,None,0,4,WD,Normal,125000.0,36,36,36.0,1496.0
RL,79.0,10634,1,1,3,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,PConc,4,4,3,1,428.0,3,180.0,0.0,608.0,GasA,4,1,SBrkr,1319,0,0,1319,1.0,0.0,1,0,3,1,3,5,3,0,3,Attchd,3,1.0,270.0,5,2,66,0,0,0,0,3,1,None,0,3,WD,Normal,123000.0,67,67,67.0,1927.0
RL,65.0,8200,1,1,3,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,3,6,0.0,6,0.0,847.0,847.0,GasA,0,1,SBrkr,847,1081,0,1928,0.0,0.0,2,1,4,1,2,8,6,1,2,BuiltIn,0,2.0,434.0,5,2,100,48,0,0,0,3,4,None,0,1,WD,Normal,219500.0,17,16,17.0,2775.0
